[LOCAL EXPLORATORY PILOT] [NOT PREREGISTERED] [NOT FOR CITATION] [DISCLOSE-BEFORE-USE]
"Anthropic Appendix II p3 chart (vendor)","Appendix II p3 chart (Gemini Text 004 plus reranked contextual embedding plus BM25)","Recall@10 (=100 minus chart failure)","10","Codebases domain","96.5","%","same full cascade (NOT tiny-code-only)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/anthropic_chart_readback.json","derived from rounded chart label 3.5pc failure; visually transcribed not raw query data"
"Anthropic Appendix II p3 chart","Appendix II p3 chart","Recall@10 derived","10","Codebases-vague domain","92.8","%","full cascade","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/anthropic_chart_readback.json","from 7.2pc chart failure label"
"Anthropic Appendix II p3 chart","Appendix II p3 chart","Recall@10 derived","10","Fiction domain","98.0","%","full cascade","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/anthropic_chart_readback.json","from 2.0pc chart failure label"
"Anthropic Appendix II p3 chart","Appendix II p3 chart","Recall@10 derived","10","ArXiv-papers domain","97.5","%","full cascade","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/anthropic_chart_readback.json","from 2.5pc chart failure label"
"Anthropic Appendix II p3 chart","Appendix II p3 chart","Recall@10 derived","10","Science-papers domain","99.3","%","full cascade","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/anthropic_chart_readback.json","from 0.7pc chart failure label"
"Anthropic Appendix II p3 chart","Appendix II p3 macro","equal-domain macro of rounded-label recalls","10","5 domains pooled equally (NOT query-weighted)","96.82","%","full cascade","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/anthropic_chart_readback.json","computed from rounded labels; not a published exact value; vendor-reported"
"BPR (Yamada et al. 2021)","Table 1","top-k recall (author label; denominator unresolved)","1","NQ test (3610 Qs) and 21M Wikipedia passages","41.1","%","96 (768-bit learned binary)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/bpr_full_recovered.md","BPR linear scan l=1000; K=1 not 10; 2.0 GB index"
"BPR","Table 1","top-k recall","20","NQ test and 21M passages","77.9","%","96","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/bpr_full_recovered.md","BPR linear scan; K=20 NOT K=10; vs DPR 78.4"
"BPR","Table 1","top-k recall","20","TQA test (11313 Qs) and 21M passages","77.9","%","96","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/bpr_full_recovered.md","BPR linear scan vs DPR 79.4"
"BPR","Table 1","top-k recall","100","NQ test and 21M passages","85.7","%","96","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/bpr_full_recovered.md","BPR linear scan; K=100 must not be read as top-10 hit rate"
"BPR","Table 1","top-k recall","100","TQA test and 21M passages","84.5","%","96","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/bpr_full_recovered.md","BPR linear scan"
"BPR","Table 1 baselines","top-20 recall","20","NQ and TQA and 21M passages","LSH 63.9/65.2; PQ 72.2/73.2","%","96 (same budget controls)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/bpr_full_recovered.md","post-hoc LSH/PQ at about 96 B; DPR 78.4/79.4 at 64.6 GB"
"BPR","Table 1","QA exact-match after reader","20 plus reader","NQ and TQA test","41.6 and 56.8","%","96 plus raw text of top-k for reader","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/bpr_full_recovered.md","reader reads raw text (App.A.4); charge text separately"
"Extended RaBitQ paper","Section 1 and Abstract and Section 5","ANN recall (fraction of TRUE NEAREST NEIGHBOURS recovered)","10 (ANN K)","about 1M-vector sets plus query sets 200-1000 (plus 113M MSMARCO)","over 95","%","about 6.4x compression (moderate rate; plus 2 floats per vec)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/rabitq_ext.md","WITHOUT raw-vector rerank; neighbour preservation NOT gold Hit@10"
"Extended RaBitQ paper","Section 1 and Section 5","ANN recall","10 (ANN K)","same ANN sets","over 99","%","about 4.5x compression (plus 2 floats per vec)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/rabitq_ext.md","same caution; e.g. D=3072 B=1 gives 392 B; B=4 gives 1544 B; all far above 12 B"
"MUVERA paper","Section 1 plus Section 3.1 and Fig.11","FDE Recall@100 vs brute-force CHAMFER neighbours (proxy fidelity)","100","MS MARCO BEIR slice","82.82 (10240-D FDE); 83.68 (20480-D)","%","40960 float (10240-D FDE uncompressed)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/muvera_recovered.md","NOT gold Hit@10; FDE dot-product vs exact Chamfer agreement"
"MUVERA paper","Section 3.1","FDE Recall@1000 vs brute-force Chamfer","1000","MS MARCO slice","94.88 (10240-D); 95.37 (20480-D)","%","40960 float","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/muvera_recovered.md","K=1000 proxy agreement; must not be promoted to tiny-code Hit@10"
"MUVERA paper","App.C.4 (PQ)","PQ-compressed FDE size","-","-","1280","bytes","1280 (10240-D FDE via PQ-256-8 = exactly 32x)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/muvera_recovered.md","PQ compresses FDEs only; Chamfer rescore still needs stored token vectors"
"MUVERA paper","Section 3 (token store)","stored token-vector volume","-","-","avg 2300-21000 floats per doc (10087 MS MARCO)","counts","not stated","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/muvera_recovered.md","this token store is why MUVERA is NOT code-only"
"BGE-M3 paper","Table 2 (MIRACL)","MIRACL dev avg nDCG@10","10","MIRACL 18 langs","67.8 (Dense) and 69.0 (Multi-vec) and 70.0 (All)","score","dense CLS only for Dense arm; All adds token matrix plus lexicon weights","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/bge.md","hybrid gain separable; All reranks top-200/1000 with summed scores"
"BGE-M3 paper","Table 3 (MKQA)","MKQA avg Recall@100","100","MKQA cross-lingual EN Wikipedia corpus","75.5 (All)","%","dense plus sparse plus multi-vector","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/bge.md","K=100 NOT Hit@10"
"BGE-M3 paper","Table 4 (MLDR)","MLDR test avg nDCG@10","10","MLDR long-doc","65.0 (All) and 52.5 (Dense) and 62.2 (Sparse)","score","hybrid representations","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/bge.md","long-doc; sparse beats dense here"
"BGE-M3 paper","Table 5 (NarrativeQA)","NarrativeQA nDCG@10","10","NarrativeQA","61.7 (All) and 48.7 (Dense)","score","hybrid representations","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/bge.md","nDCG not Hit"
"BGE-M3 paper","Table 12 (MIRACL R@100)","MIRACL dev avg Recall@100","100","MIRACL 18 langs","93.8 (Dense) and 94.6 (All)","%","hybrid for All","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/bge.md","K=100 NOT Hit@10"
"ConvMemory v2 programme report","Table 3 FULL (section 8.1)","Recall@10","10","LoCoMo conversational memory and 5 seeds pooled FULL N about 4955","0.7798","fraction","v1 top-500 pool plus 10 cross-encoder pair scorings (22.7M-param MiniLM) plus raw memory text","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/convmemory.md","v2 R@10 equals v1 R@10 BY CONSTRUCTION (set frozen); cannot raise Hit@10"
"ConvMemory v2 report","Table 3 FULL","MRR (ordering inside fixed top-10)","10","LoCoMo FULL","v1 0.5824 to v2 0.6560","fraction","same as above","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/convmemory.md","value is ordering (MRR and H@1) not admission"
"ConvMemory v2 report","Table 3 FULL","Hit@1","1","LoCoMo FULL","v1 0.4440 to v2 0.5474","fraction","same as above","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/convmemory.md","ordering gain inside fixed set"
"ConvMemory v2 report refs","Tables 4-5 plus oracle row","Recall@10","10","LoCoMo FULL","mxbai_top500 0.8080; oracle_top10 0.8415","fraction","mxbai over top-500 with large reranker; oracle ceiling","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/convmemory.md","reference points not small-code results"
"SBERT quantization doc (via chat review)","rescoring recipe (doc page)","asymmetric rescoring recipe","top_k","doc: rescore_multiplier times top_k binary-binary candidates rescored by float32 query","recipe (no number)","-","binary doc codes plus float32 query at rescore","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/chat_literature_review_20260915/report_citations.json","standard engineering pattern; never built or measured in chat lines"
"Jegou PQ (via chat review)","Abstract and Section 1","asymmetric distance finding","-","SIFT and GIST image descriptors","asymmetric version increases precision (vector-to-code)","finding","code plus codebook state","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/chat_literature_review_20260915/report_citations.json","image descriptors not text gold retrieval"
"RaBitQ original (via chat retrieval review)","abstract (retrieval REPORT)","D-bit code with error bound","-","ANN sets","D-bit strings; sharp bound; beats PQ tradeoff (author claim)","finding","D bits per D dims","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/chat_literature_review_20260915/retrieval/REPORT.md","snippet-level first-hand check; closest principled baseline for 96-bit-from-96-D"
"KIVI (via chat inverse review)","abstract (inverse REPORT)","2-bit KV-cache quantisation","-","LLM inference (Llama Falcon Mistral)","about same quality at 2.6x less peak memory; 2.35-3.47x throughput (author claim)","finding","KV cache (not retrieval codes)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/chat_literature_review_20260915/inverse/REPORT.md","KV-cache baseline any ledger scheme must beat; snippet-level only"
"Chat NanoBEIR screen (untrusted history)","NanoBEIR macro table","macro Recall@3 delta SIGN96 vs FLOAT96","3","NanoBEIR-en 13 tasks 649 Qs 56723 docs","+2.472","pp","12 (96-bit signs; TF-IDF+SVD96 parent)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/chat_literature_review_20260915/retrieval/REPORT.md","same-input ablation vs WEAK unsupervised parent; not SOTA-beating"
"Chat NanoBEIR screen","NanoBEIR macro table","macro nDCG@10 delta SIGN96 vs FLOAT96","10","NanoBEIR-en","+1.770","pp","12","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/chat_literature_review_20260915/retrieval/REPORT.md","same-input ablation only"
"Chat micro-residual R8 (frozen primary)","MICRO_RESIDUAL frozen primary","macro Recall@3 delta R8 vs SIGN96","3","NanoBEIR-en","+0.113","pp","13 (104 bits packed)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/chat_literature_review_20260915/coverage/REPORT.md","tiny; R16 regresses -0.144 pp; tie rate 0.397 to 0.145"
"Chat micro-residual R8","MICRO_RESIDUAL table","macro nDCG@10 delta R8 vs SIGN96","10","NanoBEIR-en","+0.478","pp","13","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/chat_literature_review_20260915/coverage/REPORT.md","gold-qrels but NanoBEIR only"
"Chat B8 sketch","15-archive smoke table (part2)","FLOAT-top-3 agreement delta (NOT gold)","3","15 archives (provenance absent)","+0.0079","agreement","12 (80x1 plus 8x2 plus 8 dropped)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/chat_literature_review_20260915/coverage/REPORT.md","FLOAT-mimicry only; NO qrels run of B8; do not cite as retrieval gain"
"Hermes residual8 pilot (PerLTQA gold)","Hermes pilot table","Recall@3","3","PerLTQA 8265 Qs 30 archives","BASE 0.48894 and SIGN_ONLY8 0.49327 and MAG8 0.49376 and FLOAT 0.55169","fraction","12 (SIGN_ONLY8); MAG8 adds magnitude bits","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/chat_literature_review_20260915/retrieval/REPORT.md","MAG8 minus SIGN_ONLY8 +0.049 pp CI crosses zero; +6.27 pp FLOAT gap unclosable by tie-only"
"Incoming complementarity package (post-hoc diagnostic)","rows LME hit10","hindsight per-query max of sign96 and float_std32 expected Hit@10","10","LME 470 Qs","90.21 (vs sign 86.08 and float 88.30)","%","12 (sign96 arm)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/extracted/LLMZIP_LITERATUR_EK_HESAPLAR_2026-09-15/complementarity.json","ORACLE upper bound (gold labels at selection); NOT a deployable rule; NOT top-k union"
"Incoming complementarity package","rows PerLTQA hit10","hindsight max expected Hit@10","10","PerLTQA 8265 Qs","86.07 (vs 75.76 and 83.96)","%","12","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/extracted/LLMZIP_LITERATUR_EK_HESAPLAR_2026-09-15/complementarity.json","oracle bound; max gain over float +2.11 pp"
"Incoming complementarity package","rows RealTalk hit10","hindsight max expected Hit@10","10","RealTalk 705 Qs","54.98 (vs 46.68 and 48.51)","%","12","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/extracted/LLMZIP_LITERATUR_EK_HESAPLAR_2026-09-15/complementarity.json","oracle bound; even oracle-chooser only reaches 55pc on RealTalk"
"Incoming hypothetical budget","assumptions plus totals","design arithmetic (NOT measured RAM)","-","510 archives 252838 docs 96-D","sign96 codes 3034056 B; PQ4 codebooks 3133440 B; OPQ rotation 18800640 B","bytes","12 per doc codes (excl. encoder and IDs and metadata)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/extracted/LLMZIP_LITERATUR_EK_HESAPLAR_2026-09-15/hypothetical_budget.json","status stamped HYPOTHETICAL_DESIGN_ARITHMETIC_NOT_MEASURED_RAM"
"Own baseline top10-r1 (prior job; NOT this inventory)","Results tables (per-benchmark)","realized Hit@10 sign96 and float_raw and float_std and asym","10","PerLTQA 8265 Qs","0.7568 and 0.8081 and 0.8396 and 0.8019","fraction","12 (sign96 arm)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/REPORT.md","independent baseline; FR@3 replay gate PASSED max dev 0.0 tol 1e-12"
"Own baseline top10-r1","Results tables (per-benchmark)","realized Hit@10 sign96 and float_raw and float_std and asym","10","LME 470 Qs","0.8638 and 0.8255 and 0.8830 and 0.8574","fraction","12","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/REPORT.md","same gate PASS"
"Own baseline top10-r1","Results tables (per-benchmark)","realized Hit@10 sign96 and float_raw and float_std and asym","10","RealTalk 705 valid Qs","0.4652 and 0.3660 and 0.4851 and 0.4355","fraction","12","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/REPORT.md","current best local RealTalk Hit@10 is float_std 48.51pc; incoming qscale 49.65pc per coordinator"
